This file was created by CMPT_ME_PRIOR_RETS using the 202112 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
201803,   1.96
201804,   2.83
201805,  -0.24
201806,   0.92
201807,  -1.47
201808,  -2.79
201809,   1.85
201810,  -1.63
201811,  -4.02
201812,  -2.80
201901,   2.24
201902,  -0.65
201903,  -0.82
201904,  -3.03
201905,  -4.38
201906,  -0.38
201907,  -3.14
201908,  -5.11
201909,   2.73
201910,  -3.34
201911,   0.09
201912,   1.02
202001,  -5.17
202002,  -1.65
202003,  -8.62
202004,   3.12
202005,  -2.42
202006,   1.82
202007,  -0.07
202008,   1.93
202009,  -3.02
202010,  -0.94
202011,   6.15
202012,  -0.70
202101,   9.32
202102,   4.23
202103,   3.30
202104,  -1.90
202105,   5.37
202106,  -1.71
202107,  -7.40
202108,  -1.08
202109,   4.87
202110,  -3.08
202111,  -4.12
202112,  -0.15

Annual Factors:
January-December 
,LT_Rev
  1931,  -3.24
  1932,   9.27
  1933,  80.67
  1934, -12.16
  1935,  41.52
  1936,  17.95
  1937,  -1.49
  1938, -10.30
  1939, -10.57
  1940, -10.88
  1941,  -8.56
  1942,  29.96
  1943,  45.45
  1944,   3.31
  1945, -15.38
  1946,  13.91
  1947,   9.18
  1948,   7.30
  1949,   1.02
  1950,  13.31
  1951, -13.47
  1952,  -4.53
  1953,  -1.73
  1954, -20.83
  1955, -11.52
  1956,  -5.55
  1957,   4.81
  1958,  -0.40
  1959,  -0.58
  1960,  -4.99
  1961,  -8.77
  1962,  11.70
  1963,   7.81
  1964,   1.30
  1965,  13.63
  1966,   5.69
  1967,  -3.96
  1968,  12.20
  1969,   2.46
  1970,  23.13
  1971,  -5.45
  1972,  -3.10
  1973,   6.50
  1974,   4.41
  1975,  28.02
  1976,  15.79
  1977,   8.38
  1978,   1.78
  1979,  -8.13
  1980, -14.84
  1981,  17.52
  1982,  26.45
  1983,   5.78
  1984,  -5.13
  1985, -20.10
  1986, -12.71
  1987,   8.62
  1988,  -3.09
  1989, -11.44
  1990,  -1.94
  1991,   4.84
  1992,  13.70
  1993,  26.89
  1994,  10.10
  1995,  -0.65
  1996,  -7.83
  1997,  -0.51
  1998,  -0.22
  1999,  20.76
  2000,   0.98
  2001,  26.02
  2002,  17.99
  2003,   9.65
  2004,  -9.99
  2005,  -8.68
  2006,   7.79
  2007, -13.18
  2008,   3.59
  2009,   2.58
  2010,   3.73
  2011, -18.94
  2012,  10.71
  2013,   8.96
  2014,  -4.02
  2015, -11.52
  2016,   9.32
  2017, -14.63
  2018, -10.20
  2019, -19.46
  2020, -16.23
  2021,   8.60

Copyright 2021 Kenneth R. French
